id	cufflinks_ath_buds_rep1
AT1G03440	8.47974
AT1G03445	0.175693
AT1G03457	7.34474
AT1G03470	16.6275
AT1G03475	113
AT1G03490	0.22972
AT1G03495	1.5743
AT1G03502	0
AT1G03506	0
AT1G03510	3.12665
AT1G03515	0
AT1G03520	14.4069
AT1G03530	10.9634
AT1G03540	3.17939
AT1G03545	2.17818
AT1G03550	10.4296
AT1G03560	6.01459
AT1G03570	0
AT1G03580	0.589276
AT1G03590	48.6924
AT1G03600	241.762
AT1G03610	39.6082
AT1G03620	4.38417
AT1G03630	88.3253
AT1G03640	0
AT1G03650	6.38352
AT1G03660	11.3727
AT1G03670	0.0448413
AT1G03680	149.081
AT1G03687	11.8508
AT1G03700	0
AT1G03710	24.7738
AT1G03720	1.42481
AT1G03730	11.6147
AT1G03740	12.3458
AT1G03743	0
AT1G03746	0
AT1G03750	5.23232
AT1G03760	13.062
AT1G03770	5.23588
AT1G03780	19.9655
AT1G03790	2.10352
AT1G03800	1.10416
AT1G03810	0.643893
AT1G03820	18.0988
AT1G03830	13.0673
AT1G03840	1.47311
AT1G03850	5.71042
AT1G03860	63.9783
AT1G03870	24.9493
AT1G03880	0
AT1G03890	0.112212
AT1G03900	74.9196
AT1G03905	3.85926
AT1G03910	40.3211
AT1G03920	4.3471
AT1G03930	13.6732
AT1G03935	211.677
AT1G03940	2.0275
AT1G03950	9.89232
AT1G03960	8.34415
AT1G03970	38.531
AT1G03980	0.593374
AT1G03982	0
AT1G03990	1.85295
AT1G04000	11.2945
AT1G04010	6.59629
AT1G04020	6.5731
AT1G04030	11.3997
AT1G04040	20.9204
AT1G04050	5.44142
AT1G04070	17.4701
AT1G04080	59.5809
AT1G04090	3.10364
AT1G04100	5.3426
AT1G04110	4.03432
AT1G04120	43.6807
AT1G04130	9.75691
AT1G04140	45.7512
AT1G04150	1.35519
AT1G04160	4.07395
AT1G04170	78.545
AT1G04171	0
AT1G04180	0.139009
AT1G04190	25.7391
AT1G04200	16.0509
AT1G04210	26.1056
AT1G04220	37.107
AT1G04230	13.4798
AT1G04240	15.7609
AT1G04250	17.2986
AT1G04260	35.3569
AT1G04270	560.976
AT1G04280	19.8696
AT1G04290	24.7363
AT1G04295	18.8832
AT1G04300	35.8706
AT1G04310	18.8107
AT1G04320	0
AT1G04330	0.47225
AT1G04340	39.5277
AT1G04350	16.7903
AT1G04360	1.03044
AT1G04370	0
AT1G04380	0.410845
AT1G04390	5.77628
AT1G04400	134.558
AT1G04410	537.075
AT1G04420	42.8405
AT1G04425	20.0334
AT1G04430	60.3875
AT1G04440	29.6054
AT1G04445	0.46697
AT1G04450	6.3129
AT1G04457	0
AT1G04470	16.4062
AT1G04480	236.732
AT1G04490	1.06778
AT1G04500	3.29463
AT1G04501	0
AT1G04510	43.0601
AT1G04520	18.6511
AT1G04530	44.4347
AT1G04540	29.0888
AT1G04550	25.4322
AT1G04555	10.8387
AT1G04560	0.113276
AT1G04570	2.98671
AT1G04580	7.56008
AT1G04590	20.4658
AT1G04600	1.54056
AT1G04610	1.68603
AT1G04620	20.1132
AT1G04625	0.101891
AT1G04630	44.8516
AT1G04635	7.70674
AT1G04640	19.6346
AT1G04645	16.9846
AT1G04650	2.48073
AT1G04660	2.58764
AT1G04670	12.7041
AT1G04680	89.9684
AT1G04684	0
AT1G04690	95.1648
AT1G04700	5.31826
AT1G04710	14.3858
AT1G04720	0
AT1G04730	3.80696
AT1G04750	120.262
AT1G04760	14.6048
AT1G04770	18.9955
AT1G04778	0.691933
AT1G04780	47.6351
AT1G04790	19.3981
AT1G04800	54.9228
AT1G04810	27.4195
AT1G04820	365.242
AT1G04830	14.1286
AT1G04840	1.64681
AT1G04850	68.0676
AT1G04860	13.7708
AT1G04870	25.1473
AT1G04880	8.32899
AT1G04890	2.07085
AT1G04900	10.1303
AT1G04910	23.8702
AT1G04920	4.93351
AT1G04930	5.04564
AT1G04940	46.9517
AT1G04945	21.3716
AT1G04950	15.5842
AT1G04960	12.4316
AT1G04970	32.1467
AT1G04980	12.7054
AT1G04985	28.7992
AT1G04990	33.3729
AT1G05000	5.37902
AT1G05010	59.5676
AT1G05020	1.93872
AT1G05030	7.08024
AT1G05040	1.16641
AT1G05055	10.6293
AT1G05060	18.5135
AT1G05061	0.614136
AT1G05065	22.7429
AT1G05070	32.1075
AT1G05080	0.463022
AT1G05085	0
AT1G05090	0.385309
AT1G05100	4.69978
AT1G05120	17.5415
AT1G05135	12.2209
AT1G05136	0
AT1G05140	33.7206
AT1G05150	34.6063
AT1G05160	10.6813
AT1G05170	9.73794
AT1G05180	19.8905
AT1G05190	305.545
AT1G05200	11.014
AT1G05205	40.3193
AT1G05210	12.7634
AT1G05220	1.96772
AT1G05230	11.4299
AT1G05240	0
AT1G05250	0
AT1G05260	7.7112
AT1G05270	23.6715
AT1G05280	0.513923
